iter	RMSE
0	5273.436561
1	4838.070046
2	4436.119052
3	4072.045673
4	3743.927389
5	3447.714888
6	3173.113637
7	2933.53091
8	2715.3972
9	2511.730939
10	2335.21538
11	2160.631479
12	2003.778531
13	1863.742363
14	1737.808273
15	1627.799286
16	1528.117952
17	1431.824562
18	1344.720408
19	1264.89707
20	1190.490738
21	1121.119065
22	1058.660629
23	1002.931939
24	950.8089802
25	904.3654349
26	861.8499979
27	824.7506328
28	789.4551531
29	756.5143985
30	726.5202297
31	698.3372189
32	672.6977559
33	648.9301345
34	626.9836796
35	610.1066773
36	594.8596022
37	581.2074938
38	569.4107545
39	551.7914916
40	536.3843393
41	523.7224167
42	514.597975
43	504.4238749
44	494.7611908
45	483.8364881
46	477.3051869
47	469.2057223
48	462.0753557
49	452.6949644
50	443.070116
51	437.2740299
52	431.6302638
53	424.904657
54	420.1652412
55	413.6428608
56	408.1053216
57	404.5592741
58	397.9480251
59	391.9814353
60	388.4321571
61	384.0242232
62	379.0665832
63	375.3132286
64	370.6069745
65	367.2705485
66	363.4114209
67	359.8882944
68	355.7720487
69	352.2664742
70	348.3104138
71	345.9363195
72	343.2116843
73	340.8359002
74	338.2333981
75	335.4492874
76	333.7163305
77	330.4907823
78	328.6576497
79	326.2836284
80	323.845161
81	322.0632047
82	319.6733241
83	317.6670744
84	316.0778044
85	314.7085296
86	312.4767015
87	310.1671224
88	308.4896162
89	306.2811545
90	304.381126
91	303.2430443
92	302.1964141
93	300.727916
94	298.8830414
95	296.427206
96	294.5779802
97	292.3486596
98	291.009236
99	289.415772
100	288.3092145
101	287.6297546
102	286.9716697
103	285.9177569
104	284.1216535
105	282.3077785
106	280.642676
107	279.2182724
108	278.3191084
109	276.8966242
110	275.4486987
111	273.9413
112	272.4501683
113	271.4415127
114	270.3098914
115	268.7633555
116	267.5075134
117	266.1544114
118	265.2037274
119	264.3777479
120	263.360826
121	262.3391613
122	261.2591681
123	260.3960001
124	259.6976584
125	259.1907065
126	257.9863553
127	256.9512607
128	255.6627162
129	254.5101248
130	253.6690119
131	252.9617253
132	251.9085149
133	251.0258083
134	250.2341583
135	249.4702418
136	248.6159648
137	248.0125829
138	246.8849509
139	245.9705678
140	245.0976137
141	244.4951523
142	243.7562061
143	243.1075968
144	242.7496047
145	242.1116665
146	241.4934625
147	240.7387341
148	240.1941596
149	239.5784041
150	238.7759027
151	238.4659877
152	237.7050766
153	237.1496711
154	236.2369261
155	235.621715
156	234.928872
157	234.2489792
158	233.7237155
159	233.4367322
160	232.6475093
161	231.8559927
162	231.4094804
163	231.0311648
164	230.4653234
165	230.0086515
166	229.7343581
167	229.2881251
168	228.6105596
169	227.9716057
170	227.3753486
171	226.4929945
172	225.9741831
173	225.6682416
174	225.2660137
175	224.874681
176	224.2599722
177	223.7044078
178	222.9678345
179	222.3899093
180	222.1083468
181	221.4833006
182	221.0122698
183	220.5414146
184	220.210934
185	219.8511548
186	219.1593638
187	218.9466293
188	218.2115943
189	217.7059396
190	217.5083703
191	216.7507646
192	216.2486015
193	215.7952232
194	215.2475272
195	214.9351607
196	214.5099028
197	214.1648558
198	213.5544171
199	213.1188906
200	212.8093101
201	212.3859543
202	211.854195
203	211.448372
204	211.1083627
205	210.683216
206	210.2674383
207	210.0333548
208	209.4652301
209	209.0500086
210	208.8565924
211	208.397234
212	208.063928
213	207.6619083
214	207.3995002
215	207.1008928
216	206.6571155
217	206.1572759
218	205.932332
219	205.6039461
220	205.3399351
221	204.8827923
222	204.4929961
223	204.1648202
224	203.910296
225	203.776608
226	203.4191423
227	203.1171722
228	202.8877252
229	202.4959886
230	202.0658465
231	201.5222565
232	201.1455347
233	200.692732
234	200.3151457
235	200.0373262
236	199.8576563
237	199.3653378
238	199.042117
239	198.7996652
240	198.3123359
241	197.996615
242	197.7670512
243	197.387752
244	196.9952747
245	196.6696693
246	196.22362
247	195.8170995
248	195.640502
249	195.4127662
250	194.748036
251	194.4210023
252	194.138571
253	193.7930537
254	193.4285626
255	193.1341391
256	192.688996
257	192.3861123
258	191.952514
259	191.6224075
260	191.4726085
261	191.2149495
262	190.9319682
263	190.5948664
264	190.2974178
265	190.0116461
266	189.6704235
267	189.383974
268	189.0735342
269	188.6685702
270	188.4377877
271	188.1595767
272	187.8804078
273	187.5847518
274	187.2582924
275	186.9224348
276	186.7435812
277	186.4656288
278	186.2846517
279	186.1456642
280	185.8806775
281	185.6900221
282	185.4614286
283	185.1219675
284	184.785171
285	184.5162613
286	184.3843691
287	184.1548594
288	184.0036151
289	183.6234059
290	183.3285024
291	183.0927652
292	182.8213933
293	182.5602693
294	182.3033186
295	181.9399439
296	181.6412722
297	181.297711
298	181.0207987
299	180.892335
300	180.6146049
301	180.420928
302	180.200869
303	179.9309835
304	179.7060486
305	179.3404579
306	179.216424
307	179.0229766
308	178.7285909
309	178.4842532
310	178.3253433
311	178.0710427
312	177.8611518
313	177.7126433
314	177.4485249
315	177.3242107
316	177.140648
317	176.9634705
318	176.6973002
319	176.3789703
320	176.1543742
321	175.8665141
322	175.7217892
323	175.5057957
324	175.2974605
325	175.1357881
326	174.9373443
327	174.7240272
328	174.5073925
329	174.2777252
330	174.0091605
331	173.7107696
332	173.6015178
333	173.3708832
334	173.1844666
335	172.9140472
336	172.6573528
337	172.4937594
338	172.2132532
339	172.0462957
340	171.8133052
341	171.5811144
342	171.4546172
343	171.1955554
344	170.9601372
345	170.8532575
346	170.5559599
347	170.2865737
348	170.043536
349	169.793149
350	169.502716
351	169.3314686
352	169.117683
353	168.9719057
354	168.8125504
355	168.617932
356	168.3689137
357	168.2311431
358	167.9534375
359	167.7481042
360	167.6472703
361	167.4674246
362	167.2916057
363	167.0442972
364	166.9260181
365	166.7960001
366	166.6648451
367	166.4353093
368	166.2420559
369	166.0987238
370	165.9291971
371	165.7840872
372	165.621323
373	165.521319
374	165.3022631
375	165.1313274
376	164.9427748
377	164.7121069
378	164.5952662
379	164.356548
380	164.1288618
381	163.9162743
382	163.7882696
383	163.5537085
384	163.409429
385	163.0764027
386	162.91644
387	162.7261075
388	162.5479791
389	162.416967
390	162.2327964
391	162.0931604
392	162.0207549
393	161.8305727
394	161.6814927
395	161.4940599
396	161.4487019
397	161.3277785
398	161.1708083
399	160.9876649
400	160.9012665
401	160.7298657
402	160.4861944
403	160.2401434
404	160.0848807
405	159.9221392
406	159.748035
407	159.5810866
408	159.3293541
409	159.1579121
410	159.0748925
411	158.9134632
412	158.777051
413	158.6342727
414	158.5354693
415	158.3946146
416	158.2550321
417	158.0846395
418	157.9240368
419	157.7543934
420	157.6575562
421	157.5215984
422	157.3503079
423	157.2245101
424	157.084296
425	156.9991312
426	156.8312617
427	156.653481
428	156.5035171
429	156.3458251
430	156.2659671
431	156.1330125
432	155.9801177
433	155.8093838
434	155.6917204
435	155.4362698
436	155.2905983
437	155.1806775
438	155.0550539
439	154.8594902
440	154.6862275
441	154.5607236
442	154.3680031
443	154.2007486
444	154.0993928
445	153.9706022
446	153.8193505
447	153.64842
448	153.5743721
449	153.4528492
450	153.3822239
451	153.2595577
452	153.1361118
453	152.9487413
454	152.8481031
455	152.7130315
456	152.6040855
457	152.4270333
458	152.2828968
459	152.2129947
460	152.0583276
461	151.9171274
462	151.8492079
463	151.6855412
464	151.4631396
465	151.3041347
466	151.1317874
467	150.9786926
468	150.9057069
469	150.7528056
470	150.5559609
471	150.3955744
472	150.3179404
473	150.2577373
474	150.1585774
475	150.025816
476	149.9730068
477	149.8440151
478	149.7150654
479	149.5814554
