iter	RMSE
0	5402.592982
1	4952.384657
2	4546.337149
3	4174.250306
4	3833.748922
5	3523.777827
6	3244.815359
7	2997.230405
8	2766.595387
9	2564.282382
10	2374.528858
11	2201.395307
12	2046.195765
13	1899.070078
14	1770.209196
15	1653.440149
16	1543.505092
17	1446.597744
18	1354.227178
19	1271.413101
20	1192.949852
21	1122.393004
22	1058.897483
23	1005.453962
24	952.8702004
25	906.0455304
26	860.8727594
27	819.3310425
28	779.4758907
29	747.2559762
30	714.2965089
31	681.2302106
32	653.8159391
33	629.2020178
34	606.578899
35	589.9548344
36	572.4610763
37	558.2996822
38	543.7229044
39	529.058296
40	518.2766657
41	508.4271531
42	495.8892295
43	485.8666631
44	478.83211
45	469.0699303
46	460.4286356
47	451.9639748
48	443.5253843
49	434.051316
50	426.4125719
51	421.8287672
52	411.9485198
53	403.7398977
54	398.6783056
55	390.2577993
56	385.794594
57	379.2800437
58	373.5014232
59	367.8585639
60	363.0213667
61	357.6549341
62	354.7558318
63	350.5542738
64	345.5304299
65	341.8262166
66	339.3347362
67	334.6725384
68	332.0797114
69	328.6363555
70	325.3593749
71	322.3699545
72	318.8672351
73	316.08299
74	313.5299542
75	310.5877338
76	308.5128674
77	305.1432309
78	302.6639463
79	300.633277
80	298.9635263
81	297.2784024
82	295.2647025
83	293.5517702
84	291.9978846
85	290.3294571
86	288.6176097
87	287.0667648
88	284.8183128
89	283.6731917
90	282.3806465
91	280.452627
92	278.7540489
93	277.6140795
94	276.3682107
95	275.4447057
96	274.3794421
97	273.1768641
98	271.8018599
99	270.626088
100	269.3663615
101	268.4208286
102	267.246963
103	266.0242847
104	265.0015495
105	263.8000418
106	263.0294743
107	262.1678947
108	261.0779984
109	260.3777174
110	259.812102
111	258.7264148
112	257.919639
113	257.2739168
114	256.2636164
115	255.237353
116	254.4406277
117	253.555886
118	252.2731558
119	251.3683388
120	250.5937069
121	249.6592422
122	248.8528718
123	248.4431895
124	247.9148781
125	247.1543271
126	246.6405455
127	245.8169856
128	244.7224427
129	243.8143652
130	242.9398226
131	242.678262
132	242.1143866
133	241.0545731
134	240.282899
135	239.4950794
136	239.2151587
137	238.5125669
138	237.9766349
139	237.2211222
140	236.4505533
141	235.7815203
142	234.8781945
143	234.397444
144	233.745101
145	233.2237397
146	232.6375723
147	231.8509343
148	231.3614992
149	230.6011032
