iter	RMSE
0	5351.608891
1	4905.746665
2	4501.096001
3	4127.638421
4	3798.564598
5	3497.679731
6	3221.670722
7	2977.515239
8	2753.214568
9	2539.278102
10	2355.17216
11	2184.964997
12	2029.347769
13	1894.468019
14	1769.237479
15	1649.1459
16	1543.657
17	1445.775771
18	1358.69316
19	1272.814057
20	1200.786337
21	1129.213755
22	1065.533095
23	1007.891692
24	951.7364794
25	903.4070043
26	859.790074
27	815.4027361
28	777.0960214
29	742.9571934
30	711.1939651
31	683.2079839
32	656.2508403
33	631.2834778
34	609.2594686
35	593.2002117
36	573.4810124
37	560.7236153
38	546.8254864
39	535.7938742
40	526.024744
41	512.1511775
42	500.081367
43	491.0842207
44	480.357584
45	472.1477407
46	463.5705117
47	457.2544262
48	448.2301177
49	441.0813854
50	436.1329939
51	428.8961041
52	421.8614852
53	416.590253
54	408.1571149
55	402.4473053
56	398.0688326
57	392.8827029
58	388.0575539
59	382.6945461
60	377.3383156
61	371.7728831
62	367.569696
63	363.4807517
64	358.0048925
65	353.807751
66	351.0818764
67	347.7278469
68	344.4442239
69	340.8236738
70	336.8100074
71	333.626217
72	331.5791651
73	329.5505619
74	327.1775558
75	325.4362737
76	322.9537511
77	320.5511105
78	318.8320234
79	317.0249234
80	314.8388178
81	313.0675238
82	311.3281803
83	309.1458776
84	307.774222
85	306.5096179
86	303.7418968
87	302.0155063
88	300.3751037
89	298.3159419
90	296.9027083
91	294.7798902
92	293.1497039
93	291.2351271
94	289.550147
95	288.018756
96	286.9449956
97	285.4233577
98	283.4913651
99	281.9934596
100	280.2972108
101	279.4101355
102	278.3918148
103	277.0537626
104	275.7679427
105	274.8310751
106	273.8244492
107	272.4760247
108	271.6974388
109	270.4635626
110	269.3295307
111	268.6552996
112	267.7287062
113	266.4268729
114	265.379892
115	264.3493227
116	263.0273574
117	262.0316039
118	260.8178507
119	259.8283679
120	258.7837267
121	257.9049101
122	256.8986802
123	256.0856825
124	255.0508939
125	254.246351
126	253.7643202
127	253.023717
128	252.5040422
129	251.6041052
130	250.945368
131	250.2675061
132	249.5352861
133	248.8327193
134	247.9692132
135	247.1142953
136	246.6711068
137	245.7306475
138	245.0152237
139	244.5799725
140	244.1175279
141	243.4182439
142	242.439145
143	241.4969802
144	240.8345473
145	240.411867
146	239.6113617
147	238.7018706
148	237.9441926
149	237.5556818
150	236.7667761
151	235.9412347
152	235.4504617
153	235.0668855
154	234.3205904
155	233.3818908
156	232.7639782
157	232.1748498
158	231.9770988
159	231.3478931
160	230.7918723
161	230.0631342
162	229.5261367
163	228.9910298
164	228.2365721
165	227.8133708
166	227.3753257
167	226.77824
168	226.3741418
169	225.8881806
170	225.5888031
171	225.253895
172	224.7102167
173	224.2054082
174	223.6687937
175	223.0987776
176	222.2412809
177	221.8959029
178	221.3161847
179	220.7846597
180	220.4523198
181	219.9234466
182	219.3639665
183	219.1526856
184	218.6277706
185	218.1633218
186	217.7715813
187	217.3091818
188	216.7698863
189	216.3245443
190	216.0965205
191	215.4276123
192	215.1703011
193	214.6582477
194	214.1971877
195	213.7332784
196	213.3813334
197	212.8318334
198	212.2952368
199	211.9524856
200	211.5558303
201	210.7534581
202	210.2873229
203	209.6487255
204	209.2731834
205	208.9436215
206	208.537708
207	208.1231455
208	207.8266169
209	207.5748562
210	207.0789295
211	206.7779804
212	206.4646697
213	206.2036176
214	205.8978366
215	205.5031532
216	205.1616252
217	204.6930538
218	204.3458432
219	204.2408363
220	203.918771
221	203.4831992
222	203.1260398
223	202.6965277
224	202.40106
225	202.1175919
226	201.917751
227	201.5127611
228	201.2350116
229	201.0128083
230	200.7908961
231	200.4934474
232	200.2057407
233	199.7720921
234	199.5357834
235	199.1751939
236	198.7583901
237	198.4076994
238	198.245419
239	197.9103852
240	197.4505577
241	197.2663083
242	197.0831903
243	196.6017649
244	196.0919008
245	195.8035549
246	195.5637761
247	195.0878659
248	194.8792176
249	194.4988493
250	194.1885664
251	193.8082044
252	193.5217738
253	193.0988757
254	193.041563
255	192.7382134
256	192.4790398
257	192.082022
258	191.7296569
259	191.5317645
260	191.229542
261	191.0740942
262	190.7515435
263	190.4396471
264	190.2764271
265	189.9834563
266	189.7867022
267	189.400425
268	189.069561
269	188.7476955
270	188.5216551
271	188.2167301
272	188.0312162
273	187.7951518
274	187.5622368
275	187.2125683
276	186.9941519
277	186.6030192
278	186.4071442
279	186.2113874
280	186.0378159
281	185.7144639
282	185.5134008
283	185.3488185
284	185.1930521
285	184.9889571
