iter	Passed	Remaining
0	54	53972
1	120	60223
2	188	62556
3	250	62451
4	302	60185
5	363	60152
6	434	61653
7	505	62657
8	603	66430
9	672	66572
10	747	67198
11	797	65630
12	857	65134
13	922	64942
14	977	64199
15	1029	63341
16	1080	62482
17	1133	61820
18	1185	61207
19	1229	60253
20	1282	59774
21	1335	59366
22	1408	59819
23	1477	60094
24	1554	60627
25	1643	61554
26	1700	61279
27	1766	61327
28	1838	61569
29	1895	61291
30	1953	61051
31	2009	60784
32	2068	60626
33	2126	60409
34	2184	60236
35	2246	60167
36	2308	60071
37	2358	59715
38	2417	59579
39	2466	59195
40	2526	59100
41	2576	58768
42	2640	58761
43	2734	59419
44	2794	59312
45	2904	60234
46	2977	60378
47	3040	60306
48	3105	60269
49	3167	60187
50	3232	60150
51	3292	60019
52	3347	59808
53	3420	59916
54	3497	60091
55	3559	60007
56	3620	59891
57	3672	59644
58	3731	59520
59	3801	59555
60	3870	59572
61	3936	59553
62	3989	59335
63	4065	59452
64	4147	59654
65	4207	59549
66	4261	59344
67	4313	59116
68	4378	59072
69	4431	58873
70	4478	58593
71	4538	58495
72	4610	58549
73	4687	58655
74	4772	58861
75	4840	58856
76	4895	58680
77	4963	58674
78	5040	58760
79	5098	58629
80	5163	58580
81	5210	58329
82	5264	58165
83	5353	58382
84	5431	58463
85	5494	58391
86	5543	58178
87	5619	58234
88	5670	58046
89	5745	58088
90	5808	58018
91	5888	58117
92	5960	58129
93	6034	58157
94	6088	58003
95	6152	57936
96	6214	57849
97	6277	57775
98	6332	57632
99	6398	57588
100	6456	57466
101	6536	57542
102	6615	57616
103	6682	57574
104	6750	57538
105	6809	57428
106	6859	57251
107	6887	56884
108	6939	56725
109	6967	56373
110	7022	56241
111	7085	56173
112	7175	56327
113	7240	56275
114	7307	56233
115	7356	56062
116	7411	55935
117	7468	55822
118	7523	55700
119	7568	55505
120	7609	55281
121	7678	55258
122	7733	55143
123	7808	55160
124	7870	55093
125	7918	54929
126	7982	54873
127	8042	54788
128	8092	54638
129	8151	54553
130	8212	54476
131	8249	54249
132	8312	54185
133	8369	54089
134	8445	54112
135	8519	54126
136	8584	54073
137	8646	54010
138	8697	53876
139	8763	53832
140	8850	53920
141	8908	53830
142	8975	53792
143	9046	53775
144	9122	53789
145	9172	53654
146	9233	53582
147	9302	53552
148	9360	53464
149	9424	53406
150	9499	53409
151	9547	53267
152	9627	53298
153	9707	53327
154	9772	53275
155	9837	53225
156	9902	53169
157	9951	53030
158	10002	52906
159	10067	52855
160	10133	52808
161	10188	52703
162	10269	52731
163	10342	52719
164	10394	52600
165	10460	52554
166	10527	52509
167	10592	52457
168	10651	52377
169	10714	52313
170	10783	52277
171	10869	52326
172	10932	52260
173	10986	52155
174	11035	52023
175	11088	51915
176	11133	51766
177	11188	51667
178	11243	51570
179	11291	51437
180	11358	51396
181	11420	51330
182	11488	51288
183	11562	51276
184	11630	51239
185	11683	51132
186	11736	51026
187	11797	50956
188	11857	50879
189	11922	50827
190	11996	50813
191	12054	50729
192	12120	50679
193	12206	50712
194	12277	50685
195	12337	50608
196	12402	50554
197	12455	50449
198	12524	50410
199	12581	50324
200	12639	50244
201	12701	50177
202	12813	50307
203	12896	50321
204	12950	50223
205	13011	50151
206	13075	50092
207	13125	49979
208	13183	49896
209	13250	49847
210	13317	49798
211	13397	49796
212	13462	49740
213	13517	49647
214	13573	49557
215	13633	49483
216	13692	49406
217	13750	49325
218	13814	49266
219	13857	49131
220	13925	49084
221	13999	49062
222	14060	48991
223	14112	48891
224	14174	48824
225	14233	48744
226	14291	48666
227	14363	48634
228	14426	48572
229	14479	48474
230	14529	48368
231	14599	48330
232	14666	48279
233	14737	48243
234	14810	48213
235	14898	48229
236	14952	48138
237	15004	48040
238	15081	48021
239	15132	47919
240	15199	47868
241	15263	47809
242	15337	47779
243	15413	47757
244	15476	47694
245	15528	47596
246	15591	47533
247	15648	47451
248	15698	47348
249	15755	47266
250	15808	47174
251	15885	47151
252	15958	47118
253	16023	47061
254	16090	47008
255	16151	46941
256	16211	46868
257	16274	46804
258	16327	46714
259	16383	46630
260	16453	46586
261	16553	46627
262	16619	46571
263	16680	46502
264	16731	46406
265	16804	46370
266	16877	46334
267	16943	46278
268	16994	46183
269	17044	46083
270	17098	45995
271	17154	45913
272	17215	45846
273	17274	45770
274	17334	45699
275	17395	45632
276	17452	45552
277	17528	45522
278	17594	45467
279	17658	45408
280	17721	45343
281	17793	45303
282	17849	45223
283	17912	45159
284	17971	45087
285	18025	44999
286	18090	44943
287	18147	44865
288	18208	44796
289	18258	44702
290	18337	44677
291	18419	44660
292	18529	44711
293	18609	44687
294	18666	44608
295	18730	44548
296	18789	44475
297	18860	44428
298	18957	44445
299	19036	44417
300	19098	44351
301	19161	44286
302	19211	44193
303	19274	44127
304	19331	44051
305	19384	43962
306	19435	43872
307	19511	43836
308	19599	43830
309	19665	43771
310	19719	43686
311	19780	43619
312	19854	43578
313	19920	43520
314	19977	43443
315	20036	43369
316	20100	43309
317	20179	43278
318	20256	43243
319	20317	43174
320	20378	43105
321	20442	43042
322	20509	42986
323	20576	42930
324	20634	42856
325	20703	42803
326	20787	42783
327	20921	42863
328	20991	42812
329	21046	42731
330	21107	42661
331	21166	42587
332	21222	42508
333	21282	42436
334	21334	42350
335	21410	42311
336	21482	42264
337	21545	42199
338	21629	42174
339	21700	42123
340	21768	42068
341	21839	42019
342	21902	41953
343	21963	41884
344	22034	41832
345	22115	41802
346	22172	41724
347	22219	41629
348	22272	41546
349	22334	41478
350	22403	41424
351	22460	41348
352	22515	41267
353	22580	41206
354	22657	41166
355	22736	41130
356	22802	41070
357	22860	40994
358	22937	40955
359	22986	40865
360	23048	40796
361	23101	40714
362	23148	40621
363	23207	40549
364	23273	40489
365	23339	40429
366	23392	40346
367	23454	40281
368	23505	40195
369	23555	40108
370	23618	40042
371	23678	39973
372	23726	39884
373	23777	39798
374	23849	39749
375	23944	39737
376	24019	39692
377	24077	39619
378	24140	39555
379	24204	39491
380	24268	39427
381	24336	39371
382	24400	39307
383	24479	39269
384	24564	39239
385	24630	39178
386	24692	39111
387	24757	39051
388	24809	38968
389	24863	38888
390	24924	38821
391	24984	38751
392	25039	38673
393	25163	38702
394	25217	38623
395	25264	38534
396	25312	38447
397	25374	38380
398	25433	38310
399	25494	38242
400	25606	38249
401	25690	38216
402	25748	38143
403	25795	38055
404	25842	37965
405	25904	37900
406	25962	37827
407	26019	37753
408	26082	37688
409	26130	37602
410	26189	37531
411	26239	37448
412	26289	37365
413	26351	37298
414	26404	37220
415	26453	37136
416	26514	37069
417	26572	36998
418	26623	36917
419	26671	36832
420	26729	36761
421	26790	36694
422	26849	36624
423	26924	36576
424	27011	36544
425	27068	36472
426	27127	36402
427	27186	36333
428	27245	36264
429	27312	36204
430	27382	36149
431	27439	36077
432	27504	36016
433	27579	35967
434	27652	35916
435	27704	35838
436	27768	35775
437	27833	35712
438	27891	35642
439	27952	35575
440	28017	35513
441	28078	35447
442	28169	35419
443	28274	35406
444	28321	35322
445	28382	35255
446	28437	35180
447	28497	35112
448	28553	35040
449	28602	34959
450	28663	34891
451	28712	34810
452	28765	34734
453	28823	34664
454	28871	34582
455	28928	34510
456	28977	34430
457	29039	34365
458	29097	34295
459	29148	34218
460	29193	34132
461	29243	34053
462	29301	33984
463	29370	33927
464	29438	33870
465	29495	33799
466	29550	33726
467	29606	33654
468	29673	33596
469	29728	33523
470	29794	33463
471	29842	33383
472	29908	33322
473	29992	33282
474	30067	33232
475	30132	33170
476	30185	33096
477	30250	33035
478	30316	32975
479	30386	32918
480	30447	32852
481	30520	32800
482	30611	32766
483	30734	32766
484	30797	32702
485	30858	32635
486	30919	32570
487	30984	32507
488	31061	32458
489	31116	32386
490	31165	32308
491	31218	32234
492	31281	32170
493	31330	32092
494	31420	32054
495	31481	31988
496	31536	31916
497	31597	31851
498	31671	31798
499	31742	31742
500	31811	31684
501	31863	31609
502	31912	31531
503	31961	31453
504	32031	31397
505	32087	31326
506	32139	31251
507	32204	31190
508	32258	31117
509	32307	31040
510	32351	30958
511	32390	30872
512	32448	30804
513	32509	30738
514	32584	30686
515	32661	30636
516	32727	30574
517	32778	30500
518	32852	30447
519	32903	30372
520	32965	30307
521	33044	30259
522	33102	30190
523	33165	30127
524	33219	30056
525	33305	30013
526	33384	29963
527	33446	29899
528	33501	29828
529	33564	29765
530	33622	29696
531	33682	29630
532	33732	29555
533	33781	29480
534	33862	29432
535	33963	29401
536	34038	29348
537	34110	29291
538	34172	29227
539	34221	29151
540	34278	29083
541	34340	29018
542	34401	28952
543	34487	28908
544	34552	28846
545	34618	28785
546	34683	28723
547	34736	28651
548	34795	28584
549	34858	28520
550	34929	28463
551	34990	28398
552	35080	28356
553	35145	28293
554	35208	28229
555	35276	28170
556	35335	28103
557	35392	28035
558	35457	27972
559	35516	27905
560	35565	27830
561	35664	27795
562	35769	27763
563	35814	27686
564	35870	27617
565	35928	27549
566	35992	27486
567	36053	27421
568	36118	27358
569	36174	27289
570	36223	27215
571	36288	27152
572	36361	27096
573	36417	27027
574	36474	26959
575	36559	26912
576	36664	26878
577	36736	26821
578	36802	26760
579	36876	26703
580	36945	26644
581	37024	26591
582	37108	26542
583	37157	26468
584	37212	26398
585	37280	26338
586	37331	26265
587	37400	26205
588	37463	26141
589	37553	26096
590	37624	26038
591	37677	25967
592	37747	25907
593	37808	25842
594	37873	25779
595	37926	25708
596	37984	25641
597	38037	25570
598	38114	25515
599	38189	25459
600	38245	25390
601	38305	25324
602	38355	25252
603	38418	25188
604	38476	25121
605	38534	25053
606	38590	24985
607	38656	24923
608	38729	24865
609	38800	24806
610	38862	24742
611	38930	24681
612	38979	24608
613	39031	24537
614	39113	24485
615	39175	24421
616	39237	24356
617	39302	24293
618	39379	24238
619	39454	24181
620	39517	24117
621	39576	24051
622	39645	23990
623	39717	23932
624	39789	23873
625	39838	23801
626	39903	23738
627	39989	23688
628	40052	23624
629	40099	23550
630	40153	23481
631	40206	23411
632	40272	23348
633	40329	23281
634	40390	23216
635	40453	23152
636	40506	23082
637	40592	23032
638	40658	22969
639	40720	22905
640	40776	22837
641	40847	22777
642	40897	22706
643	40951	22637
644	41013	22573
645	41068	22504
646	41156	22454
647	41229	22396
648	41286	22328
649	41339	22259
650	41398	22193
651	41473	22136
652	41534	22071
653	41602	22010
654	41669	21948
655	41731	21883
656	41799	21822
657	41856	21755
658	41913	21688
659	41966	21619
660	42037	21559
