iter	Passed	Remaining
0	107	107093
1	188	94275
2	247	82316
3	310	77386
4	361	72030
5	421	69818
6	480	68199
7	531	65883
8	641	70657
9	707	70062
10	754	67852
11	801	66005
12	863	65567
13	970	68384
14	1032	67827
15	1095	67372
16	1180	68267
17	1253	68377
18	1337	69036
19	1395	68397
20	1459	68051
21	1522	67690
22	1583	67251
23	1643	66819
24	1699	66283
25	1776	66537
26	1827	65855
27	1887	65531
28	1982	66366
29	2065	66793
30	2126	66472
31	2189	66220
32	2250	65938
33	2313	65728
34	2374	65463
35	2436	65256
36	2488	64780
37	2568	65016
38	2647	65225
39	2697	64747
40	2761	64582
41	2824	64422
42	2883	64173
43	2938	63845
44	2992	63504
45	3059	63448
46	3152	63911
47	3210	63666
48	3268	63430
49	3320	63083
50	3382	62942
51	3431	62567
52	3490	62373
53	3539	62009
54	3598	61828
55	3647	61478
56	3708	61353
57	3794	61621
58	3854	61469
59	3901	61120
60	3949	60792
61	4005	60604
62	4064	60450
63	4121	60270
64	4190	60274
65	4269	60421
66	4341	60455
67	4402	60340
68	4460	60190
69	4511	59940
70	4575	59861
71	4631	59696
72	4688	59542
73	4749	59435
74	4806	59280
75	4865	59156
76	4917	58943
77	4998	59084
78	5068	59092
79	5117	58846
80	5179	58766
81	5236	58623
82	5289	58443
83	5339	58225
84	5388	58007
85	5445	57879
86	5519	57918
87	5578	57810
88	5639	57726
89	5715	57789
90	5795	57887
91	5844	57679
92	5911	57650
93	5981	57649
94	6041	57553
95	6101	57455
96	6154	57292
97	6207	57133
98	6250	56890
99	6317	56858
100	6384	56829
101	6457	56853
102	6533	56895
103	6583	56715
104	6639	56592
105	6690	56427
106	6751	56343
107	6802	56184
108	6852	56013
109	6916	55960
110	6982	55925
111	7036	55787
112	7119	55886
113	7196	55933
114	7261	55881
115	7314	55739
116	7381	55704
117	7449	55684
118	7514	55635
119	7568	55500
120	7620	55359
121	7699	55407
122	7761	55342
123	7857	55512
124	7904	55331
125	7956	55187
126	8025	55165
127	8079	55042
128	8146	55001
129	8219	55006
130	8310	55131
131	8378	55095
132	8435	54986
133	8495	54906
134	8567	54896
135	8634	54852
