iter	RMSE
0	5252.552859
1	4813.191424
2	4412.826826
3	4051.069651
4	3723.686695
5	3425.96964
6	3148.095952
7	2907.538772
8	2684.541813
9	2481.527091
10	2296.817769
11	2127.100512
12	1974.867675
13	1836.11263
14	1713.957935
15	1602.183957
16	1498.80844
17	1406.386595
18	1321.029157
19	1241.506405
20	1169.898948
21	1100.875714
22	1041.374592
23	988.2576086
24	938.9996226
25	895.4057642
26	851.7530267
27	812.3319312
28	773.4161357
29	741.1271878
30	712.2399701
31	686.5014626
32	667.3138339
33	642.5170014
34	622.8385799
35	604.4315793
36	587.8462368
37	575.1803162
38	563.6539918
39	551.8641196
40	536.2596071
41	522.9633478
42	511.4656486
43	499.8953991
44	492.3089364
45	481.1494645
46	475.1449054
47	467.5051603
48	459.7603476
49	452.4578263
50	445.2689639
51	435.7913492
52	429.4921414
53	424.6780875
54	420.4370633
55	415.038493
56	408.874903
57	403.6543425
58	399.6635423
59	394.5175582
60	390.9493856
61	388.2668558
62	382.4972916
63	378.1793875
64	374.4551101
65	372.1040405
66	369.0043371
67	364.757938
68	361.5512887
69	358.3822269
70	356.2153644
71	351.2667472
72	347.5700662
73	344.3428857
74	341.9033045
75	339.8385267
76	338.6697961
77	336.4511294
78	334.267672
79	330.7389395
80	327.3207856
81	325.2381867
82	322.6390192
83	320.0691325
84	317.061553
85	314.8870827
86	313.2162277
87	310.5879621
88	308.8125081
89	306.4345721
90	305.0026992
91	302.7984086
92	301.4586724
93	300.0638443
94	298.6093752
95	296.7422423
96	295.3852388
97	293.6458418
98	292.0292686
99	289.9149244
100	288.5980068
101	287.7045361
102	286.1789558
103	285.2896424
104	283.7065657
105	282.1620177
106	281.5920756
107	280.8134001
108	280.0167057
109	279.5650003
110	278.708968
111	277.0474301
112	275.5398207
113	273.9470996
114	273.0738018
115	272.2956646
116	271.1123979
117	269.912182
118	268.6905659
119	267.4663896
120	266.3615284
121	265.6267173
122	265.0056768
123	264.6612406
124	263.5161319
125	262.3049068
126	261.2380846
127	260.1047633
128	259.4505939
129	259.1109463
130	258.6974881
131	258.4201331
132	257.526003
133	256.2093442
134	255.5283
135	254.892863
136	253.8169848
137	253.0292555
138	252.7570085
139	251.9460358
140	250.8395722
141	249.9070853
142	249.6283522
143	248.7873191
144	247.7913487
145	247.53446
146	246.9105065
147	246.0675628
148	245.8567227
149	245.0474924
150	244.427438
151	243.5571684
152	243.0631972
153	242.1592987
154	241.3293374
155	240.9330761
156	240.6733531
157	239.9770003
158	239.1280043
159	238.3948544
160	237.73643
161	237.1048884
162	236.6964789
163	236.3153138
164	235.7510165
165	235.4230141
166	234.7623167
167	234.0315609
168	233.8816498
169	233.2584189
170	232.8490864
171	232.0866814
172	231.7459628
173	231.5947698
174	230.9549905
175	230.350889
176	229.8771716
177	229.5034199
178	228.8336146
179	228.7318888
180	228.223769
181	227.7722144
182	227.0241821
183	226.9281614
184	226.3071311
185	225.7565825
186	225.0351165
187	224.7004389
188	224.1073438
189	223.6363952
190	223.0931837
191	222.4793801
192	221.9494808
193	221.4045307
194	221.0554239
195	220.546912
196	220.0203495
197	219.5548731
198	219.1648057
199	218.5179477
200	218.0217139
201	217.7642121
202	217.2207571
203	216.7455352
204	216.4503397
205	216.0980419
206	215.4650401
207	214.7018791
208	214.1915613
209	213.9860441
210	213.5079478
211	213.2593701
212	212.6881893
213	212.2900791
214	211.8233823
215	211.5234708
216	211.146731
217	210.9322625
218	210.6408546
219	210.3140184
220	209.9403208
221	209.5105944
222	209.1923917
223	208.7417596
224	208.5042022
225	208.2104517
226	207.9206606
227	207.4441493
228	207.0211619
229	206.7929632
230	206.3580673
231	205.8461992
232	205.513342
233	205.253825
234	204.9533526
235	204.6537968
236	204.107011
237	203.7068923
238	203.2792228
239	202.8868326
240	202.575097
241	202.3508688
242	202.1028413
243	201.895204
244	201.5762573
245	201.2195019
246	200.8116779
247	200.3821534
248	200.1887157
249	199.7153619
250	199.4085736
251	199.1658405
252	198.8418841
253	198.489393
254	198.2363643
255	197.9839294
256	197.6581255
257	197.3598083
258	197.0505885
259	196.6952928
260	196.426934
261	196.1351806
262	195.7764306
263	195.5057919
264	195.2007951
265	194.9259066
266	194.6187254
267	194.3305105
268	194.0117346
269	193.7613392
270	193.23128
271	193.1145443
272	192.7294897
273	192.5443005
274	192.1050714
275	191.7898302
276	191.4074917
277	191.2017007
278	190.959855
279	190.6586951
280	190.4009891
281	190.141693
282	189.8266835
283	189.441285
284	189.1405226
285	188.7995151
286	188.6689476
287	188.2512019
288	187.9552699
289	187.6630566
290	187.490727
291	187.2251523
292	186.8494649
293	186.5457581
294	186.3131522
295	186.1013155
296	185.8351853
297	185.6308529
298	185.3553055
299	185.1888339
300	184.8072634
301	184.5253703
302	184.2511672
303	183.9238169
304	183.7189182
305	183.4385303
306	183.0242947
307	182.8592773
308	182.5359943
309	182.2740115
310	181.8359036
311	181.5250661
312	181.3493554
313	181.1264739
314	180.9910688
315	180.6817247
316	180.2977325
317	180.0644534
318	179.7624738
319	179.5390907
320	179.2916277
321	179.1410086
322	178.8185835
323	178.5203442
324	178.2869482
325	178.1436983
326	177.9208253
327	177.6779881
328	177.3123676
329	177.1985615
330	177.092983
331	176.7807059
332	176.5984709
333	176.3330146
334	176.0719229
335	175.8691096
336	175.724767
337	175.5128652
338	175.3149672
339	175.1424566
340	175.0582638
341	174.8947735
342	174.579321
343	174.3830549
344	174.1803456
345	174.0257819
346	173.6683505
347	173.4892742
348	173.2833368
349	173.06606
350	172.7886273
351	172.667839
352	172.4124855
353	172.2463532
354	172.0651127
355	171.7715891
356	171.6102329
357	171.3745854
358	171.1635201
359	170.8812235
360	170.6702249
361	170.4462168
362	170.3055596
363	170.1069825
364	170.0126341
365	169.7763869
366	169.6548681
367	169.4947432
368	169.2866529
369	169.0071653
370	168.8427081
371	168.7802852
372	168.6012665
373	168.4031353
374	168.2279183
375	168.0523421
376	167.9103482
377	167.6728309
378	167.4722721
379	167.2760602
380	167.1206285
381	167.0195629
382	166.8638165
383	166.6696028
384	166.3620242
385	166.2471455
386	165.9850542
387	165.8048122
388	165.5498239
389	165.3734133
390	165.1625312
391	165.0645079
392	164.8806554
393	164.6399096
394	164.3622889
395	164.2359953
396	164.1762037
397	164.0877116
398	163.8446963
399	163.6473791
400	163.4108428
401	163.1870845
402	162.9392861
403	162.7614807
404	162.5585555
405	162.4699547
406	162.2658258
407	162.0796941
408	161.8425146
409	161.6814634
410	161.4861831
411	161.390928
412	161.2259221
413	161.1646223
414	160.9724027
415	160.7417423
416	160.6410561
417	160.5284371
418	160.4493422
419	160.3254703
420	160.04555
421	159.7437445
422	159.6733389
423	159.5951537
424	159.4411712
425	159.3419616
426	159.21819
427	159.0467
428	158.9537249
429	158.7716492
430	158.5445107
431	158.3891211
432	158.2139949
433	158.0890801
434	157.9427871
435	157.8373377
436	157.6326881
437	157.4649774
438	157.3335881
439	157.2417256
440	157.0901997
441	156.8810015
442	156.6941214
443	156.5261006
444	156.3801397
445	156.2630381
446	156.1301214
447	156.048306
448	155.889824
449	155.7684272
450	155.6345922
451	155.4768316
452	155.3284253
453	155.1907289
454	155.1140151
455	154.882102
456	154.8511358
457	154.7368128
458	154.5751742
459	154.4752063
460	154.3358445
461	154.2088964
462	153.9994989
463	153.8550715
464	153.7331174
465	153.5798621
466	153.4455041
467	153.2793706
468	153.1528256
469	152.9627494
470	152.8756553
471	152.7858752
472	152.5776859
473	152.4881688
474	152.3987493
475	152.2707812
476	152.1684468
477	151.9855308
478	151.8525504
479	151.7523337
480	151.584559
481	151.4638148
482	151.2630183
483	151.1860362
484	151.0491511
485	150.8944939
486	150.7772251
487	150.5961666
488	150.4443912
489	150.2766112
490	150.1585137
491	150.0057204
492	149.8260171
493	149.6943743
494	149.6044754
495	149.4441178
496	149.3103353
497	149.2002211
498	149.0612481
499	148.9860536
500	148.8548223
501	148.7014106
502	148.5776763
503	148.403501
504	148.2336763
505	148.1110908
506	148.0069301
507	147.7920503
508	147.7140014
509	147.5257323
510	147.4473837
511	147.3531487
512	147.2779611
513	147.14875
514	146.9836884
515	146.8324791
516	146.7581137
517	146.6184862
518	146.5188843
519	146.4211992
520	146.2893135
521	146.1785214
522	146.0825679
523	145.9927102
524	145.9026905
525	145.8252319
526	145.7417332
527	145.6475441
528	145.4901577
529	145.4117108
530	145.333022
531	145.2116492
532	145.0599108
533	144.9320163
534	144.8568657
535	144.7416125
536	144.6550722
537	144.5631109
538	144.4120795
539	144.2879677
540	144.126305
541	144.0293485
542	143.8869005
543	143.8184025
544	143.7265224
545	143.5604559
546	143.4375769
547	143.368494
548	143.3036599
549	143.2071786
550	143.0874983
551	142.9738384
552	142.9255218
553	142.8459377
554	142.7257344
555	142.6540911
556	142.5235603
557	142.374886
558	142.2820339
559	142.2160835
560	142.0994185
561	141.961678
562	141.8578386
563	141.7540477
564	141.6833651
565	141.5415916
566	141.4300145
567	141.3126417
568	141.1849757
569	141.1486714
570	141.0155309
571	140.9222072
572	140.8133372
573	140.7312652
574	140.6014891
575	140.5086382
576	140.4004014
577	140.2658075
578	140.1814163
579	140.0664853
580	139.930785
581	139.8204744
582	139.77325
583	139.6760166
584	139.5899416
585	139.5392159
586	139.4800096
587	139.3383307
588	139.2570598
589	139.142015
590	139.0906551
591	138.9873207
592	138.856152
593	138.7909132
594	138.6912359
595	138.6006465
596	138.5410009
597	138.4431184
598	138.3239833
599	138.2226253
600	138.1645319
601	138.0500072
602	137.9577723
603	137.8489164
604	137.7167583
605	137.6149259
606	137.5010431
607	137.3999825
608	137.2647852
609	137.1881592
610	137.0933514
611	137.0113493
612	136.9153569
613	136.8580077
614	136.7792393
615	136.7302509
616	136.6067041
617	136.5428793
618	136.4208159
619	136.3235497
620	136.2413807
621	136.1260731
622	136.0166146
623	135.9009801
624	135.8357779
625	135.6965803
626	135.6019949
627	135.4915115
628	135.4186329
629	135.3362352
630	135.2167878
631	135.161393
632	135.0330657
633	134.9495878
634	134.8200174
635	134.7554407
636	134.6599597
637	134.501598
638	134.4027848
639	134.3711159
640	134.3141041
641	134.2312896
642	134.1121407
643	134.0119406
644	133.9141416
645	133.8312061
646	133.7889968
647	133.6704796
648	133.5622667
649	133.4329076
650	133.3448628
651	133.2349059
652	133.1335123
653	133.0790352
654	132.9409625
655	132.8475131
656	132.7792211
657	132.6799723
658	132.6081016
659	132.4937672
660	132.4422028
661	132.3729707
662	132.3099912
663	132.2138572
664	132.1393269
665	132.0381631
666	131.989921
667	131.9189418
668	131.8723059
669	131.7385579
670	131.6470141
671	131.5514712
672	131.3850408
673	131.2894106
674	131.2499819
675	131.1603737
676	131.0597627
677	130.9461342
678	130.8738356
679	130.7343465
680	130.636851
681	130.5779435
682	130.4667496
683	130.4026848
684	130.3777255
685	130.2807549
686	130.1990512
687	130.1078998
688	130.0385663
689	129.9785283
690	129.8946512
691	129.8400486
692	129.8038697
693	129.7556167
694	129.6841972
695	129.6044129
696	129.567407
697	129.4705515
698	129.3665721
699	129.1966753
700	129.1092267
701	129.0865737
702	128.9906304
703	128.9140328
704	128.8456424
705	128.7440902
706	128.6775171
707	128.5566901
708	128.4834434
709	128.3767761
710	128.2662842
711	128.1761358
712	128.1250854
713	128.0087008
714	127.9072331
715	127.8519486
716	127.7667652
717	127.6629845
718	127.6195526
719	127.5398202
720	127.4948539
721	127.4231072
722	127.3154855
723	127.2714283
724	127.1999582
725	127.1443928
726	127.0359504
727	126.9453833
728	126.8827767
729	126.8120743
730	126.7836812
731	126.6452871
732	126.5564485
733	126.4642607
734	126.4034302
735	126.3209043
736	126.2556584
737	126.1502202
738	126.0867861
739	126.0578781
740	125.9832332
741	125.8924142
742	125.8490972
743	125.8184295
744	125.7458607
745	125.6480591
746	125.5473215
747	125.503234
748	125.4207685
749	125.3161787
750	125.2113048
751	125.1308197
752	125.0428556
753	125.0079085
754	124.8860018
755	124.8132422
756	124.6952949
757	124.6438191
758	124.5691873
759	124.496114
760	124.3968838
761	124.3163409
762	124.2461154
763	124.1434401
764	124.062373
765	123.9773773
766	123.9470631
767	123.8492675
768	123.7963912
769	123.7440257
770	123.6656672
771	123.5799132
772	123.4935729
773	123.4148664
774	123.3193729
775	123.2303036
776	123.1622301
777	123.0872029
778	122.9867196
779	122.9035141
780	122.8302714
781	122.7441021
782	122.6435117
783	122.5697439
784	122.4902519
785	122.4181907
